행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,서대문구,천연동,"16,323",956,"1,175","1,789","2,371","2,253","2,829","2,470","1,478",850,150,2
서울특별시,서대문구,북아현동,"15,106","1,153",979,"1,745","2,825","2,411","2,403","1,953",998,547,89,3
서울특별시,서대문구,충현동,"19,224",902,"1,257","2,641","3,378","2,763","2,991","2,810","1,507",818,152,5
서울특별시,서대문구,신촌동,"20,222",383,884,"8,350","3,857","1,840","1,887","1,413",925,593,87,3
서울특별시,서대문구,연희동,"33,123","1,056","1,935","7,133","5,423","4,137","4,843","4,067","2,682","1,557",281,9
서울특별시,서대문구,홍제제1동,"24,281","1,215","1,643","2,833","3,572","3,355","4,250","3,706","2,316","1,233",155,3
서울특별시,서대문구,홍제제3동,"17,290",904,"1,042","2,055","2,386","2,238","2,941","2,734","1,764","1,083",141,2
서울특별시,서대문구,홍제제2동,"11,949",598,754,"1,300","1,821","1,444","2,040","2,086","1,178",641,85,2
서울특별시,서대문구,홍은제1동,"23,241","1,205","1,541","2,578","3,352","3,201","3,921","3,822","2,272","1,154",191,4
서울특별시,서대문구,홍은제2동,"27,231","1,207","2,078","3,648","3,814","3,757","4,606","4,204","2,434","1,279",196,8
서울특별시,서대문구,남가좌제1동,"16,716","1,717","1,996","1,440","2,185","3,363","2,469","1,819","1,067",572,86,2
서울특별시,서대문구,남가좌제2동,"28,483","1,989","2,534","3,825","3,837","4,642","4,402","3,462","2,369","1,247",170,6
서울특별시,서대문구,북가좌제1동,"17,276",976,"1,907","1,736","2,116","2,819","2,977","2,396","1,507",722,118,2
서울특별시,서대문구,북가좌제2동,"29,682",981,"1,930","3,872","4,062","3,861","5,109","4,897","3,178","1,582",205,5
서울특별시,마포구,마포구,"357,616","18,267","25,708","54,593","64,726","54,455","55,719","42,765","25,467","13,685","2,181",50
서울특별시,마포구,아현동,"28,994","2,751","2,282","2,810","5,803","5,310","4,220","3,298","1,577",807,133,3
서울특별시,마포구,공덕동,"35,929","1,675","2,058","5,152","6,766","4,913","5,869","5,054","2,704","1,517",216,5
서울특별시,마포구,도화동,"20,222","1,148","1,398","2,351","3,646","2,803","3,182","2,953","1,612",933,194,2
서울특별시,마포구,용강동,"21,114","1,709","2,225","1,890","3,353","4,115","3,248","2,318","1,345",749,156,6
서울특별시,마포구,대흥동,"14,212",488,861,"3,512","2,469","1,844","2,111","1,523",830,496,73,5
서울특별시,마포구,염리동,"16,820","1,212","1,830","2,223","2,594","3,195","2,602","1,618",936,527,82,1
서울특별시,마포구,신수동,"21,906","1,292","1,747","3,211","3,401","3,331","3,811","2,599","1,543",841,126,4
서울특별시,마포구,서강동,"24,288","1,395","1,662","4,542","4,056","3,584","3,752","2,744","1,542",863,148,0
서울특별시,마포구,서교동,"23,500",581,974,"5,345","5,405","3,314","3,079","2,330","1,502",810,158,2
서울특별시,마포구,합정동,"15,629",493,701,"2,527","3,641","2,318","2,120","1,912","1,176",646,92,3
서울특별시,마포구,망원제1동,"18,437",589,928,"2,787","3,589","2,735","2,813","2,440","1,612",836,108,0
서울특별시,마포구,망원제2동,"17,184",666,"1,251","2,310","2,881","2,622","2,874","2,204","1,518",772,83,3
서울특별시,마포구,연남동,"13,782",414,606,"2,565","2,984","1,967","1,924","1,582","1,043",594,100,3
서울특별시,마포구,성산제1동,"18,316",563,"1,179","2,802","3,401","2,800","3,041","2,284","1,422",743,80,1
서울특별시,마포구,성산제2동,"38,164","1,650","2,614","6,422","7,099","5,057","5,868","4,563","3,036","1,591",255,9
서울특별시,마포구,상암동,"29,119","1,641","3,392","4,144","3,638","4,547","5,205","3,343","2,069",960,177,3
서울특별시,양천구,양천구,"425,088","22,589","46,288","46,798","51,738","69,380","72,020","62,434","37,579","14,000","2,198",64
서울특별시,양천구,목1동,"29,901","2,286","5,110","2,699","2,569","6,467","5,121","3,107","1,795",649,96,2
서울특별시,양천구,목2동,"27,851","1,059","2,078","3,772","5,097","4,038","4,428","4,203","2,227",828,119,2
