region,area,people,수요,입주,매매,전세,전세가율,,,region,area,people,수요,입주,매매,전세,전세가율
전남,안동시(97),"152,469",792,0,737,586,73%,,,,,,,,,,
경북,상주시(36),"89,467",484,0,713,502,69%,,,,,,,,,,
경북,영천시(43),"94,486",514,0,479,373,73%,,,,,,,,,,
경북,김천시(74),"133,049",708,0,667,598,80%,,,,,,,,,,
경북,경주시(136),"243,183","1,271",0,648,566,78%,,,,,,,,,,
경북,구미시(218),"403,113","2,078",0,612,519,81%,,,,,,,,,,
경북,영주시(47),"96,555",514,763,683,668,79%,,,,,,,,,,
경북,경산시(152),"263,525","1,354",0,685,548,78%,,,,,,,,,,
경북,칠곡군(53),"103,807",575,0,415,345,80%,,,,,,,,,,
경북,예천군(17),"53,529",282,0,803,682,83%,,,,,,,,,,
경북,포항시 북구(164),"273,819","1,372","3,100",614,511,78%,,,,,,,,,,
경북,포항시(275),"487,380","2,532","3,100",632,541,79%,,,,,,,,,,
경북,포항시 남구(111),"213,561","1,160",0,669,611,80%,,,,,,,,,,
경남,진주시(182),"335,005","1,748",0,"1,058",871,76%,,,,,,,,,,
경남,창원시 성산구(136),"246,074","1,220","1,509","1,397",907,64%,,,,,,,,,,
경남,거창군(21),"58,889",307,0,708,548,66%,,,,,,,,,,
경남,창원시(535),"987,251","5,212","3,474","1,055",783,71%,,,,,,,,,,
경남,밀양시(50),"98,728",523,232,682,589,78%,,,,,,,,,,
경남,창원시 의창구(87),"208,174","1,157","1,965","1,201",870,69%,,,,,,,,,,
경남,양산시(211),"361,371","1,790",330,781,611,76%,,,,,,,,,,
경남,창원시 마산합포구(121),"174,969",909,0,795,699,83%,,,,,,,,,,
경남,창원시 마산회원구(90),"174,705",944,0,844,714,80%,,,,,,,,,,
경남,통영시(97),"115,826",641,506,584,558,81%,,,,,,,,,,
경남,김해시(274),"532,687","2,722","1,868",723,601,82%,,,,,,,,,,
경남,거제시(170),"229,490","1,213",343,481,409,82%,,,,,,,,,,
경남,함안군(25),"57,121",315,0,502,441,85%,,,,,,,,,,
경남,창원시 진해구(101),"183,329",982,0,709,592,83%,,,,,,,,,,
경남,사천시(55),"107,804",556,677,549,489,84%,,,,,,,,,,
제주,제주시(221),"484,331","2,499",336,"1,581","1,021",64%,,,,,,,,,,
제주,서귀포시(82),"178,898",933,144,"1,103",823,72%,,,,,,,,,,
제주,삼척시(40),"60,461",326,0,630,478,70%,,,,,,,,,,
강원,동해시(75),"85,758",455,0,649,508,72%,,,,,,,,,,
강원,춘천시(160),"284,966","1,444","1,417",917,723,78%,,,,,,,,,,
강원,홍천군(24),"65,935",345,703,662,487,70%,,,,,,,,,,
강원,강릉시(162),"205,849","1,075","1,882",827,723,81%,,,,,,,,,,
강원,태백시(45),"36,850",206,0,388,292,73%,,,,,,,,,,
강원,원주시(258),"364,286","1,816","2,137",690,576,79%,,,,,,,,,,
강원,속초시(97),"78,842",420,925,791,609,76%,,,,,,,,,,
전북,완주군(53),"100,092",462,516,753,604,77%,,,,,,,,,,
전북,전주시 완산구(226),"314,400","1,699","1,914",892,726,78%,,,,,,,,,,
전북,전주시(422),"622,242","3,315","2,308",937,768,78%,,,,,,,,,,
전북,전주시 덕진구(196),"307,842","1,616",394,985,810,79%,,,,,,,,,,
전북,남원시(38),"74,055",399,0,632,504,67%,,,,,,,,,,
전북,김제시(44),"81,758",411,0,505,464,80%,,,,,,,,,,
전북,군산시(178),"255,598","1,341","2,529",505,442,81%,,,,,,,,,,
전북,익산시(189),"266,952","1,399","1,363",542,503,84%,,,,,,,,,,
전북,정읍시(53),"100,724",536,0,573,458,75%,,,,,,,,,,
