사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202604,5호선,여의도,15,1,3022,3399,5632,31987,12021,171871,16515,239323,16257,88245,16562,41000,24518,40610,24557,37664,30954,41777,36333,33855,45443,31739,63088,32474,161590,38340,187353,46360,77256,22225,65794,12815,51988,10700,29390,9216,9803,5011,1248,2789,0,2,0,1,0,0,20260503
202604,5호선,영등포구청,2,0,1147,993,3636,2826,11205,9005,15916,30396,6233,12744,5663,5789,6307,5111,6823,5274,6836,5910,6793,5619,7587,5958,9307,7053,14082,10029,26630,17122,9145,9082,6500,6108,5815,5827,3982,4945,2037,3110,294,801,0,0,0,0,0,0,20260503
202604,5호선,영등포시장,27,1,2965,1132,8279,6076,30476,17355,40957,48737,19349,27822,13713,17853,14668,18029,16860,21000,17355,23489,18576,18893,22408,17484,27139,18522,37639,24445,47436,40471,20377,23661,14911,16630,13140,15442,9157,13927,4417,8694,619,2127,0,0,0,0,0,0,20260503
202604,5호선,오금,19,0,1333,673,4103,2879,9027,12029,9063,22832,6465,8255,5505,4070,5537,3749,6161,4335,5756,4389,5669,4654,7020,4955,8946,6114,12082,7793,15764,8958,4755,6937,3920,4471,3257,4121,2485,4096,754,2724,178,943,0,0,0,0,0,0,20260503
202604,5호선,오목교(목동운동장앞),19,0,5565,2021,19177,10782,59577,31623,64816,65844,34657,49956,27563,32814,28479,32843,32368,34614,33071,38007,32986,36248,37217,39139,42877,47710,52937,61686,63683,84128,36665,51132,37640,31589,29320,26617,26536,22601,7936,12127,1107,3976,0,0,0,0,0,0,20260503
202604,5호선,올림픽공원(한국체대),15,0,1782,866,6847,3641,14147,7005,15078,12763,11454,8180,10573,8028,9575,7559,10010,10426,9650,11734,8700,14224,11613,16189,12781,15370,13108,15816,12371,15354,7933,10912,11934,6865,12737,6419,7535,5084,7422,3897,687,995,0,0,0,0,0,0,20260503
202604,5호선,왕십리(성동구청),46,1,1344,666,2754,3249,7614,7087,10466,20098,6103,10372,5378,7836,6167,8226,7128,8505,7766,8931,7627,9106,8826,9159,10960,10143,12236,13126,16093,18609,10017,10450,8872,6491,9008,5814,7152,5141,3278,3099,664,2453,2,644,0,0,0,0,20260503
202604,5호선,우장산,1,0,7507,873,26451,5246,61178,18353,65581,26986,36182,17736,28935,15130,28085,15302,28273,18915,25691,22650,22877,24175,25805,28815,28690,34130,26763,41374,22172,62009,14094,45849,10382,29695,9033,26019,7495,25473,2298,14426,358,3894,0,0,0,0,0,0,20260503
202604,5호선,을지로4가,2,0,588,601,1315,7886,3205,20670,4830,46300,4512,21422,5876,13764,7179,13381,8503,11469,10011,10898,11636,9739,13520,8905,17862,8909,31884,9107,41427,10087,17061,5630,12196,4113,10483,3999,7172,2661,3694,1759,546,730,1,1,0,0,0,0,20260503
202604,5호선,장한평,27,0,9123,1460,22394,13980,67141,29653,88034,76121,46619,32146,29598,23450,25221,21380,28110,22137,26830,23144,25906,22819,27202,27118,34410,32431,49028,48513,66561,75428,30468,52222,17950,32912,15206,31433,10765,27736,4596,16981,832,5436,3,179,0,0,0,0,20260503
202604,5호선,종로3가,53,7,1509,437,2581,7436,3930,17829,6341,49059,9218,40620,11711,35612,15131,39371,21174,37036,23596,35771,28930,32924,34562,32881,41714,35607,52877,42860,66656,52366,42604,31895,43650,20427,47357,15759,42823,12500,25426,7350,4098,2667,0,31,0,0,0,0,20260503
202604,5호선,천호(풍납토성),62,1,7754,1939,15131,11770,41667,23785,49404,44562,31047,40143,28948,32602,32405,33773,36895,35727,38195,40149,39509,37397,45080,39969,49699,42298,56306,52588,58571,68966,40640,45871,36214,28071,26161,25371,19383,21793,9625,13384,2016,4923,0,0,0,0,0,0,20260503
202604,5호선,청구,8,0,1373,203,2665,2126,6520,4275,9907,14215,6004,8298,4939,4050,4909,3870,4626,4272,4831,4717,4844,4612,5530,4854,7614,5784,8901,7202,13692,9977,7921,6732,5150,4643,3922,4361,3331,4196,1722,2635,338,836,0,0,0,0,0,0,20260503
202604,5호선,충정로(경기대입구),8,0,955,215,2728,3162,7481,19567,10489,41111,5884,13948,4889,5357,6058,5515,5759,4812,5814,5839,6228,5542,6849,4820,8639,5364,23154,7386,32382,10553,8702,6444,6063,4896,5303,4974,3061,4679,1315,2750,212,836,0,130,0,0,0,0,20260503
202604,5호선,하남검단산,32,0,4848,21,11935,3465,28475,5427,23470,12636,14678,10581,12001,11002,10064,10380,11283,12366,11880,10911,11266,11119,13007,14401,14582,12418,13911,16525,12804,19361,8321,17996,7217,11859,5995,11065,4426,9091,1165,5853,96,2628,0,0,0,0,0,0,20260503
