호선명,역명,년월일,요일,구분,합계(전체),05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2호선,계명대,202511,전체,승차,203678,1611,3151,7992,11968,7898,8557,8950,10380,12516,11584,12969,18488,27801,24669,9838,8982,7518,5822,2984
2호선,계명대,202511,전체,하차,197513,107,4874,14171,29829,12677,13077,9435,8407,9783,9576,8918,11132,12066,13862,9582,7509,7521,8607,6380
2호선,성서산업단지,202511,전체,승차,144062,1493,3713,8458,10956,7221,6742,7394,8202,8248,8015,7926,10266,16070,16545,6909,6209,4230,3692,1773
2호선,성서산업단지,202511,전체,하차,139874,649,5430,13957,15072,6236,5505,6046,6679,6833,7888,8038,9095,11801,12947,7849,4973,4854,3638,2384
2호선,이곡,202511,전체,승차,106630,2167,3685,9979,12892,8842,7090,6970,7345,6798,6423,6529,5906,7583,6253,2780,2303,1473,1203,409
2호선,이곡,202511,전체,하차,95661,336,1727,5137,8166,3805,3224,3861,4365,4607,5058,6650,7703,9367,10040,6181,4120,4306,3907,3101
2호선,용산,202511,전체,승차,212002,2478,4845,14734,21542,13611,11674,14474,12906,12612,11855,14720,15657,15865,16922,11411,7170,5531,2950,1045
2호선,용산,202511,전체,하차,209312,1205,5168,10247,19290,10009,7979,8231,10781,13657,11630,15135,17614,19289,22661,11021,8376,7055,6331,3633
2호선,죽전,202511,전체,승차,193303,1775,4516,14958,20270,12807,10444,11084,12393,11705,11130,11412,12023,15385,14689,8235,7098,6512,4898,1969
2호선,죽전,202511,전체,하차,197421,724,3582,6416,14323,9059,8077,8291,9355,10424,11809,12617,16012,20757,25342,11924,8773,8036,7199,4701
2호선,감삼,202511,전체,승차,203686,3941,4836,12948,18772,13397,11827,13154,14272,15344,13707,13685,16335,15988,14351,6290,4822,4329,2970,2718
2호선,감삼,202511,전체,하차,188495,602,2717,7124,18949,10849,9167,9377,10504,11284,13125,14204,15118,17640,18687,9007,7077,5815,4601,2648
2호선,두류,202511,전체,승차,217445,2569,4595,12982,16356,12173,10968,12057,13254,12943,13691,15653,16296,15949,16381,9670,11737,12081,5792,2298
2호선,두류,202511,전체,하차,203095,499,3263,7737,20038,12624,9153,11037,11536,12740,12519,13969,15133,17649,20395,11071,7978,6839,5924,2991
2호선,내당,202511,전체,승차,127207,1835,3879,9451,13033,8400,7156,7484,7914,8133,7611,6807,6845,7960,8645,4905,4722,5207,6198,1022
2호선,내당,202511,전체,하차,119426,483,1700,3155,9888,6819,5565,6670,6674,6809,6642,8908,9664,11244,13127,6719,5095,4693,3807,1764
2호선,반고개,202511,전체,승차,111170,2135,4595,8879,11717,7766,6661,6627,7454,7783,6639,6424,7457,7991,7688,3643,2826,2377,1749,759
2호선,반고개,202511,전체,하차,115081,371,1853,4648,10187,6527,5264,5594,6283,6270,6535,8020,9777,10891,12754,5802,4764,4144,3483,1914
2호선,청라언덕2,202511,전체,승차,160654,1252,3187,9514,12659,7885,6872,8857,11502,12796,13388,17518,15874,14497,11253,4577,3237,2891,2004,891
2호선,청라언덕2,202511,전체,하차,150885,543,1798,4915,13874,9362,11189,11403,11754,12278,12014,11601,10898,9261,10928,5630,4163,3662,3596,2016
2호선,반월당2,202511,전체,승차,665660,2076,3457,6132,9855,11054,15807,26868,34539,42738,52729,62670,67476,69491,68790,48420,50535,44198,34237,14588
2호선,반월당2,202511,전체,하차,615933,1488,4566,11490,41676,46200,40261,50671,54535,56404,52692,51425,48432,52596,53167,23510,11010,7045,5326,3439
2호선,경대병원,202511,전체,승차,195221,869,2293,7507,10482,9083,10297,11264,12657,10003,12735,15361,16619,21240,20856,9091,7379,7264,6881,3340
2호선,경대병원,202511,전체,하차,218321,610,4089,14984,36796,18861,13537,11376,11331,14250,12587,12402,12277,14022,17299,8544,4967,4325,3746,2318
2호선,대구은행,202511,전체,승차,174098,1328,4001,12728,16454,12133,8725,9881,10878,10042,9783,10508,13345,12569,17481,7219,5652,5223,4363,1785
2호선,대구은행,202511,전체,하차,178053,470,2973,7169,21844,9756,7055,7673,9190,9071,9653,11938,15154,15952,19013,10031,6942,5922,5352,2895
2호선,범어,202511,전체,승차,236267,1183,3392,13780,19927,12235,11137,14111,14338,13245,14218,16308,17795,20401,27785,10595,8872,8080,6290,2575
2호선,범어,202511,전체,하차,236842,978,4060,9420,33476,19280,12345,10536,12118,13584,14509,14490,17363,18655,22519,10399,7236,6439,5893,3542
2호선,수성구청,202511,전체,승차,155148,1354,2248,7771,11716,7697,8421,7655,8414,8753,8466,8861,9753,11049,13461,9271,7007,9495,11909,1847
2호선,수성구청,202511,전체,하차,159728,474,1186,4169,11759,8938,7193,7093,8385,10842,9913,13886,19549,15265,17117,9469,4697,4110,3241,2442
2호선,만촌,202511,전체,승차,146417,928,3145,10705,15250,8392,11102,9693,8407,8343,9308,10330,11137,10319,9446,5156,3972,4731,4967,1086
2호선,만촌,202511,전체,하차,126770,529,1581,4218,8872,5792,5116,5437,6074,7338,7012,9991,12701,11890,14528,8007,5100,5286,4848,2450
2호선,담티,202511,전체,승차,98296,569,1786,5904,9408,5737,4374,4885,7862,6661,5392,8557,12569,7325,6243,3166,2283,2485,2246,844
2호선,담티,202511,전체,하차,89108,403,1263,5784,11079,5194,3359,3850,4109,4627,4366,5915,6840,7016,8725,4923,3686,3431,3061,1477
2호선,연호,202511,전체,승차,18373,135,429,1534,2138,1204,904,893,860,1205,1012,1060,1531,1835,1875,607,501,364,228,58
2호선,연호,202511,전체,하차,14899,158,500,1114,1929,780,747,636,662,808,738,833,831,1097,1285,687,681,703,449,261
2호선,대공원,202511,전체,승차,29009,130,404,766,1650,1560,1167,1432,1446,1427,1613,1749,2243,3344,5348,2747,711,646,414,212
2호선,대공원,202511,전체,하차,26168,55,670,1777,5967,2288,1219,1464,1646,2257,1288,1309,1123,1270,1382,732,598,571,410,142
2호선,고산,202511,전체,승차,91447,1200,4008,7541,10758,7934,7873,5547,4976,4873,4849,4405,5632,5750,5520,2698,2874,1806,2101,1102
2호선,고산,202511,전체,하차,76788,97,1139,1923,4829,2947,2392,3048,3419,4102,3849,5339,6973,8065,9766,5568,4020,3742,3584,1986
2호선,신매,202511,전체,승차,181957,2287,5680,14290,19264,12060,9991,10477,18478,16315,10626,10962,10665,10188,9446,5810,4786,4756,4245,1631
2호선,신매,202511,전체,하차,178258,105,2114,3425,8920,7450,6548,8252,9379,10866,10670,13088,16183,19557,22474,11740,8793,7146,7627,3921
2호선,사월,202511,전체,승차,126971,1395,4318,14064,17628,9860,7900,7437,8347,8047,7263,7150,7195,8573,6878,3590,2607,2216,1865,638
2호선,사월,202511,전체,하차,120875,105,1089,2420,5241,3918,4141,4708,5703,6261,6756,7813,10867,12742,16199,8670,6364,6867,6817,4194
