호선명,역명,년월(YYYYMM),요일,구분,합계(전체),01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시
1호선,당리,202511,전체,승차,200535,13,0,0,566,3080,5928,13176,19245,13816,13661,15126,15341,15162,14108,13491,14129,13491,12243,5694,4766,3945,2328,1124,102
1호선,당리,202511,전체,하차,212769,13,3,0,8,711,4020,5425,15542,11016,10716,12577,12833,14491,14015,16881,20210,19709,20132,10752,7740,7005,4964,3139,867
1호선,사하,202511,전체,승차,139868,6,3,0,386,2438,5848,12296,17641,11834,10314,9970,10145,10273,8229,8315,9082,8493,6191,3190,2053,1710,959,405,87
1호선,사하,202511,전체,하차,125819,6,7,3,30,421,1508,2880,7083,4682,5417,6931,7227,7441,8300,10353,11917,12754,12898,7554,6037,5356,3922,2293,799
1호선,괴정,202511,전체,승차,271706,10,0,0,423,4316,8613,16558,25119,18404,18345,20256,21793,20658,19072,19806,20398,20476,15226,7873,5454,4544,3089,1091,182
1호선,괴정,202511,전체,하차,269947,12,5,0,10,796,4257,7499,14640,11994,12436,16538,18733,18055,18988,22854,25196,26538,26950,13544,10529,8690,7043,3378,1262
1호선,대티,202511,전체,승차,124305,2,8,1,263,2595,4513,9958,15095,9469,8869,9282,9112,8844,7722,8085,9257,7952,5540,2769,1918,1827,773,341,110
1호선,대티,202511,전체,하차,122911,1,14,2,50,350,2212,3496,8155,6575,6053,6755,8155,7059,7359,9774,10805,11334,11813,6898,5204,4634,3591,1897,725
1호선,서대신,202511,전체,승차,105184,0,0,0,120,1622,2956,7656,11185,7395,7524,7323,7452,7230,7093,7829,8197,8323,5921,2532,1810,1397,1044,478,97
1호선,서대신,202511,전체,하차,111456,0,0,0,69,831,2117,5499,10677,6368,6018,5778,6209,7265,7021,8135,8149,9127,10052,5322,4149,3553,2587,1870,660
1호선,동대신,202511,전체,승차,204288,11,7,0,230,3827,5692,11529,17909,13764,13338,14139,14144,14295,13574,14959,15537,17831,13169,6582,5081,4318,2958,1259,135
1호선,동대신,202511,전체,하차,178161,13,10,2,2,493,2471,4692,11766,8707,8798,9867,10152,10816,11930,14025,14524,17463,18231,9865,7621,6411,4953,4339,1010
1호선,토성,202511,전체,승차,280435,9,0,0,149,3210,5026,10410,15760,15128,17196,18917,16920,17820,22056,26325,30630,38104,17838,7685,6018,5083,3459,2559,133
1호선,토성,202511,전체,하차,275092,15,3,0,1,1936,5658,14188,39930,23982,25562,20274,15281,22093,17526,12978,12884,13409,14471,8397,6400,6765,7254,4599,1486
1호선,자갈치,202511,전체,승차,555076,5,16,4,195,4070,5455,9494,15873,17115,23417,30055,36385,42828,53269,63190,59160,56096,48143,27750,23322,18889,13282,6653,410
1호선,자갈치,202511,전체,하차,559707,5,15,2,73,3606,7262,15999,37831,32640,41968,56496,57442,52865,48492,43496,38592,38147,33749,17776,12070,9841,6274,3958,1108
1호선,남포,202511,전체,승차,572930,9,7,9,92,3960,6202,13118,22462,19364,20677,26029,32961,37829,44741,53522,58656,63337,59789,35768,35172,21991,12698,4317,220
1호선,남포,202511,전체,하차,603693,12,14,12,32,3174,11745,23592,43922,38107,44344,51913,50150,50298,47125,45439,42628,43919,40465,22295,15282,12729,9512,5426,1558
1호선,중앙,202511,전체,승차,275771,9,6,3,44,1677,3125,5892,10353,9381,9836,11815,12470,14058,15292,17349,23035,41497,62331,14036,9633,7687,4160,1961,121
1호선,중앙,202511,전체,하차,275639,14,9,3,16,2384,5112,18101,88197,25453,14209,14121,13987,15152,12243,11041,11071,11855,11618,6208,4889,3920,3454,2094,488
1호선,부산역,202511,전체,승차,762223,18,10,6,138,4025,5668,12628,31682,36285,46604,53659,43400,56158,45287,56467,62685,74574,79375,45650,37728,30011,27395,12328,442
1호선,부산역,202511,전체,하차,789695,25,10,8,36,7436,17752,39652,88887,54660,40871,41217,51191,48727,49555,49529,57871,60259,60362,43926,32089,24543,13974,6245,870
1호선,초량,202511,전체,승차,191611,2,0,0,23,2586,4156,7625,14319,9985,9604,11364,11339,11847,11533,12794,13704,21196,26315,8090,5689,4536,3226,1593,85
1호선,초량,202511,전체,하차,196280,2,0,0,0,1473,3200,11408,39931,15688,10106,9505,9481,10818,8970,10274,11591,13283,14616,7898,5950,5431,3764,2479,412
1호선,부산진,202511,전체,승차,219252,10,16,2,52,4300,5157,9864,16541,13500,12871,15854,16680,15008,14152,15035,16532,20810,21773,6903,5945,4388,2582,1104,173
1호선,부산진,202511,전체,하차,205594,12,41,38,20,1241,4175,9891,29352,16899,11724,11432,10874,13503,12713,13527,14320,15356,15334,8448,5777,5094,3290,2185,348
1호선,좌천,202511,전체,승차,136551,7,6,1,41,2266,4896,9354,14609,10465,8730,9646,9739,10339,9118,8589,8347,11465,7853,3638,2738,2685,1283,680,56
1호선,좌천,202511,전체,하차,122654,4,10,1,31,1250,3039,6216,12966,8201,7386,7029,6113,7280,7295,7823,8435,8894,10641,6333,4493,3899,2977,2018,320
1호선,범일,202511,전체,승차,460273,4,0,0,39,3743,4593,9494,17808,17561,22618,29232,34681,38724,42056,45578,45664,47901,43457,20161,16176,10947,6347,3395,94
1호선,범일,202511,전체,하차,469181,14,4,0,1,3090,9127,17138,50398,42293,37598,41423,38874,39492,35697,32613,30304,28451,28009,12418,8588,6024,4416,2813,396
1호선,범내골,202511,전체,승차,315612,5,0,8,22,4065,6221,14794,26693,20722,19312,20630,20574,19766,19248,20311,23965,31794,32947,10975,8725,7280,5297,2210,48
1호선,범내골,202511,전체,하차,314919,3,0,4,8,2180,6383,13228,50875,27869,18254,16242,16352,19376,17956,18434,18931,21185,25918,12425,9514,8447,6884,3995,456
1호선,서면,202511,전체,승차,1085581,14,9,3,264,9140,10283,17856,34655,34795,40265,51078,62124,69579,79559,93463,101800,103755,99260,69509,68065,60447,47638,31795,225
1호선,서면,202511,전체,하차,1236347,17,17,7,55,6221,9314,19900,71347,78576,78222,97757,108632,109450,99695,94595,95764,108206,114109,54889,34290,25794,18369,8998,2123
1호선,부전,202511,전체,승차,515179,5,1,0,17,4517,10382,21396,35385,27732,32152,35811,39120,40657,43074,51805,52284,43120,34434,15529,10877,7675,5893,3182,131
1호선,부전,202511,전체,하차,548052,2,3,0,1,4065,7954,12549,37472,36980,41960,46025,54120,54656,47383,43472,40003,35411,35463,16566,12278,10104,7371,3669,545
1호선,양정,202511,전체,승차,401117,7,2,2,30,6149,11219,25566,44470,27254,21924,22867,26934,25835,23762,27340,31475,34080,26403,14095,11385,9766,6797,3553,202
1호선,양정,202511,전체,하차,404263,13,6,9,4,4195,6761,15479,36437,27533,20485,20083,21528,23303,22132,26044,29012,38041,45913,20987,16536,12823,9801,6460,678
1호선,시청,202511,전체,승차,469359,7,20,39,20,5767,12009,31833,54908,33979,26813,27335,26674,29321,27631,29320,29746,32305,45411,16441,15278,12642,7583,4109,168
1호선,시청,202511,전체,하차,455285,11,12,25,2,2721,6437,14745,52056,24811,20617,23420,24938,28310,27082,29401,33177,40431,50547,23211,17585,15483,12261,7310,692
1호선,연산,202511,전체,승차,533562,2,0,6,89,8621,13323,32404,52776,35121,31415,34155,35868,35135,33229,34521,34848,40044,43213,20330,16999,15260,10182,5755,266
