"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"경기","이천시","안흥동","","이천중학교","공립","85.6","78.1","75.2","79.6","2"
"광주","북구","서하로","","광주예술중학교","공립","85.5","77.8","78.5","80.6",""
"경기","안양시","동안구","","귀인중학교","공립","85.5","80.1","81.6","82.4","38"
"강원","홍천군","내촌면","도관리","내촌중학교","공립","85.5","73.0","73.0","77.2",""
"전북","무주군","부남면","대소리","부남중학교","공립","85.5","75.5","81.0","80.7",""
"전북","익산시","황등면","동연리","진경여자중학교","사립","85.5","66.6","61.4","71.2",""
"충남","보령시","남포면","달산리","남포중학교","공립","85.5","66.6","74.8","75.6","0"
"울산","중구","남외동","","남외중학교","공립","85.4","80.0","80.4","81.9","16"
"경남","창원시","마산합포구","교방동","의신중학교","사립","85.4","77.3","69.5","77.4","1"
"강원","원주시","부론면","법천리","부론중학교","공립","85.4","75.1","83.9","81.5",""
"경기","화성시","","","방교중학교","공립","85.4","83.2","78.0","82.2","1"
"전북","완주군","운주면","장선리","운주중학교","공립","85.4","66.4","75.6","75.8",""
"인천","연수구","송도동","","인천신정중학교","공립","85.3","85.4","80.8","83.8","42"
"제주","제주시","","","제주중앙여자중학교","공립","85.3","72.0","74.1","77.1","6"
"강원","홍천군","내면","창촌리","내면중학교","공립","85.3","67.0","72.9","75.1",""
"서울","송파구","방이동","","방산중학교","공립","85.3","66.2","74.6","75.4","3"
"충남","서산시","석림동","","서산여자중학교","공립","85.3","74.8","78.7","79.6","2"
"강원","영월군","북면","마차리","마차중학교","공립","85.3","82.8","83.3","83.8",""
"부산","동래구","","","안락중학교","공립","85.3","77.6","75.8","79.6","7"
"광주","남구","양림동","","광주수피아여자중학교","사립","85.2","67.4","70.0","74.2","4"
"서울","성북구","하월곡동","","숭곡중학교","공립","85.1","82.3","78.6","82.0","7"
"전남","고흥군","금산면","","금산중학교","공립","85.1","79.6","87.0","83.9","1"
"경기","하남시","","","덕풍중학교","공립","85.1","79.3","78.0","80.8","1"
"울산","남구","","","옥현중학교","공립","85.1","88.5","81.9","85.2","11"
"경기","양평군","양서면","용담리","양수중학교","공립","85.1","77.3","69.4","77.3","0"
"충남","청양군","청양읍","벽천리","청신여자중학교","사립","85.1","75.9","70.1","77.0","0"
"경북","영천시","북안면","임포리","영안중학교","공립","85.0","72.3","65.5","74.3","0"
"인천","서구","검암동","","검암중학교","공립","85.0","68.9","72.1","75.3","2"
"서울","중구","신당동","","금호여자중학교","공립","85.0","76.3","77.0","79.4",""
"경북","경산시","백천동","","문명중학교","사립","85.0","71.2","73.8","76.7","0"
"전북","익산시","함라면","금성리","함라중학교","공립","85.0","72.6","81.9","79.8",""
"경기","부천시","소사구","괴안동","부천동여자중학교","공립","85.0","68.8","71.1","75.0","1"
"서울","도봉구","","","노곡중학교","공립","84.9","85.9","78.5","83.1","7"
"경기","성남시","분당구","판교동","낙원중학교","공립","84.9","81.9","81.8","82.9","9"
"충북","보은군","탄부면","하장리","보덕중학교","공립","84.9","76.0","75.4","78.8","1"
"광주","북구","운암동","","광주체육중학교","공립","84.8","75.5","64.9","75.1","0"
"전남","장흥군","유치면","","장흥유치중학교","공립","84.8","70.3","81.0","78.7","0"
"경기","파주시","야당동","","한빛중학교","공립","84.8","82.6","71.0","79.5","9"
"부산","해운대구","반여동","","장산중학교","공립","84.8","82.0","79.9","82.2","12"
"경기","이천시","장호원읍","노탑리","장호원중학교","공립","84.7","80.5","66.1","77.1","0"
"경기","이천시","마장면","오천리","마장중학교","공립","84.7","75.8","67.1","75.9","1"
"경기","화성시","","","동탄목동중학교","공립","84.7","78.3","79.1","80.7","9"
"전북","남원시","인월면","서무리","인월중학교","공립","84.7","77.8","73.6","78.7",""
"전남","고흥군","대서면","금마리","고흥대서중학교","사립","84.6","65.8","58.1","69.5","0"
"경북","포항시","북구","죽장면","서포중학교","사립","84.6","82.9","80.8","82.8","0"
"경기","김포시","고촌읍","","향산중학교","공립","84.6","79.1","81.2","81.6","0"
"경남","남해군","남해읍","북변리","남해중학교","공립","84.6","73.3","76.5","78.1","0"
"부산","금정구","구서동","","브니엘예술중학교","사립","84.6","89.4","88.4","87.5","9"
"전남","보성군","미력면","용정리","용정중학교","사립","84.6","85.9","89.8","86.8","6"
"경기","수원시","영통구","영통동","영일중학교","공립","84.6","78.4","83.0","82.0","8"
"경기","시흥시","정왕동","","배곧해솔중학교","공립","84.6","70.7","73.7","76.3","2"
"경기","수원시","팔달구","","영복여자중학교","사립","84.6","76.9","77.0","79.5","4"
"경기","김포시","하성면","","하성중학교","공립","84.6","76.1","82.9","81.2","0"
"경기","김포시","구래동","","김포한가람중학교","공립","84.6","77.0","80.9","80.8","5"
"경기","연천군","군남면","진상리","군남중학교","공립","84.5","65.9","68.4","72.9","0"
"제주","제주시","한경면","고산리","고산중학교","공립","84.5","81.5","74.0","80.0","1"
"서울","서초구","방배동","","동덕여자중학교","사립","84.5","70.8","71.0","75.4","2"
"전남","해남군","북일면","","두륜중학교","공립","84.5","71.4","72.2","76.0","0"
"경기","화성시","동탄중앙로","","석우중학교","공립","84.5","86.2","80.5","83.7","13"
"강원","영월군","한반도면","","쌍룡중학교","공립","84.5","69.8","80.8","78.4",""
"충남","예산군","신암면","오산리","신암중학교","공립","84.4","89.9","76.4","83.6","0"
"대전","유성구","신봉동","","대전자운중학교","공립","84.4","73.1","80.8","79.4","0"
"경기","광주시","송정동","","경화여자중학교","사립","84.4","77.5","75.0","79.0","2"
"전남","순천시","주암면","구산리","한국바둑중학교","공립","84.4","71.8","63.8","73.3","0"
"부산","연제구","거제동","","이사벨중학교","사립","84.3","79.1","74.6","79.3","4"
"충남","아산시","인주면","","인주중학교","공립","84.3","73.6","73.0","77.0","0"
"서울","성북구","돈암동","","성신여자중학교","사립","84.3","86.2","76.7","82.4","27"
"울산","남구","","","울산중앙중학교","공립","84.3","80.7","79.2","81.4","7"
"경북","청송군","현동면","도평리","현동중학교","사립","84.3","74.0","81.7","80.0","0"
"강원","영월군","영월읍","하송리","석정여자중학교","사립","84.2","66.9","61.7","70.9",""
"충남","아산시","배방읍","","설화중학교","공립","84.2","76.1","78.5","79.6","12"
"전북","익산시","인화동","","이일여자중학교","사립","84.2","72.1","75.6","77.3",""
"강원","홍천군","서면","모곡리","한서중학교","공립","84.2","63.2","79.0","75.5",""
"전남","순천시","송광면","이읍리","순천승남중학교","공립","84.2","72.6","65.8","74.2","0"
"강원","횡성군","서원면","창촌리","서원중학교","공립","84.2","79.0","81.0","81.4",""
"서울","용산구","","","신광여자중학교","사립","84.1","83.0","82.1","83.1","3"
"울산","남구","달동","","대현중학교","공립","84.1","75.5","79.1","79.6","6"
"서울","강남구","도곡동","","은성중학교","사립","84.1","76.1","70.3","76.8","2"
"경기","이천시","부발읍","죽당로","부발중학교","공립","84.1","77.7","75.0","78.9","0"
"경기","고양시","덕양구","대덕산로","덕은한강중학교","공립","84.1","81.3","76.7","80.7","4"
"경기","포천시","소흘읍","이가팔리","갈월중학교","공립","84.1","68.2","69.7","74.0","0"
"경기","화성시","","","서연중학교","공립","84.1","79.7","72.7","78.8","6"
"대전","서구","복수동","","동방여자중학교","사립","84.1","70.4","76.6","77.0","0"
"부산","금정구","","","장전중학교","공립","84.1","78.3","76.4","79.6","7"
"부산","영도구","동삼동","","해동중학교","사립","84.0","77.2","76.9","79.4","5"
"부산","동구","초량동","","선화여자중학교","사립","84.0","80.1","80.2","81.4","4"
"경기","포천시","관인면","탄동리","관인중학교","공립","84.0","67.3","80.0","77.1","0"
"서울","종로구","송현동","","덕성여자중학교","사립","84.0","79.7","75.6","79.8","1"
"강원","춘천시","동산면","조양리","동산중학교","공립","84.0","74.8","46.8","68.5",""
"경기","수원시","영통구","망포동","망포중학교","공립","84.0","74.9","77.1","78.7","16"
